brand,type,price,available,sold,target
101,40,10.0,10.0,110.0,0
63,40,27.06,18.0,21.0,0
58,40,55.99,3.0,14.0,0
145,40,69.98,10.0,2663.0,0
219,28,17.25,165.0,2156.0,0
101,28,29.95,6.0,13.0,0
263,78,29.99,7.0,45.0,0
369,28,49.99,5.0,6.0,0
35,40,43.82,5.0,20.0,0
103,28,38.0,2.0,8.0,0
63,40,29.97,93.0,2311.0,0
99,40,52.39,10.0,145.0,0
324,79,21.95,9.0,85.0,0
90,40,24.95,7.0,171.0,0
103,28,18.75,10.0,29.0,0
309,78,72.0,8.0,41.0,0
145,28,54.99,10.0,40.0,0
167,28,18.14,10.0,1966.0,0
160,25,14.7,2.0,169.0,0
211,28,44.99,10.0,12.0,0
58,28,34.93,10.0,1947.0,0
150,81,28.9,10.0,1.0,0
211,77,15.0,10.0,7.0,0
33,95,128.88,10.0,21.0,0
357,40,9.94,10.0,4775.0,0
185,28,38.89,25.0,1832.0,0
33,40,74.99,10.0,6.0,0
272,40,19.41,15.0,2436.0,0
357,66,43.15,10.0,66.0,0
191,40,27.98,3.0,204.0,0
64,40,26.15,112.0,1954.0,0
82,28,26.0,10.0,2.0,0
211,28,40.99,10.0,7.0,0
193,28,76.5,10.0,2.0,0
306,40,7.99,8.0,131.0,0
33,28,78.99,10.0,7.0,0
122,6,40.0,10.0,10.0,0
309,28,29.95,10.0,14.0,0
231,28,21.69,7.0,3.0,0
237,40,57.63,10.0,430.0,0
318,65,27.25,3.0,9.0,0
181,40,23.68,10.0,1576.0,0
335,28,49.99,6.0,75.0,0
211,28,42.99,10.0,20.0,0
309,28,99.0,5.0,7.0,0
273,78,7.99,10.0,73.0,0
79,90,23.0,10.0,102.0,0
365,28,99.0,10.0,11.0,0
195,40,34.36,10.0,28.0,0
211,28,44.98,10.0,23.0,0
349,40,42.88,10.0,34.0,0
200,28,38.99,10.0,57.0,0
101,40,28.6,10.0,145.0,0
185,65,45.11,3.0,15.0,0
141,39,50.07,62.0,1522.0,0
370,40,24.99,7.0,3.0,0
361,28,59.99,4.0,0.0,0
13,28,34.95,2.0,16.0,0
303,28,46.94,10.0,32.0,0
174,39,17.99,38.0,549.0,0
64,28,29.0,5.0,126.0,0
192,78,11.99,2.0,8.0,0
187,25,86.99,3.0,7.0,0
366,40,14.45,22.0,47.0,0
264,28,50.0,2.0,4.0,0
301,78,50.0,8.0,271.0,0
187,25,86.99,6.0,4.0,0
156,40,20.67,10.0,5628.0,0
344,40,21.64,31.0,337.0,0
35,28,59.99,10.0,8.0,0
82,28,56.97,10.0,254.0,0
102,28,29.89,10.0,339.0,0
286,40,13.76,86.0,4492.0,0
35,28,49.99,5.0,69.0,0
58,28,9.89,4.0,103.0,0
214,81,11.99,10.0,423.0,0
54,40,24.74,10.0,2761.0,0
33,28,71.41,5.0,27.0,0
369,28,59.99,4.0,26.0,0
277,28,80.99,10.0,4.0,0
63,40,24.04,10.0,221.0,0
191,28,28.68,145.0,2188.0,0
187,25,34.99,3.0,12.0,0
357,28,15.99,3.0,3.0,0
58,53,27.99,10.0,21.0,0
26,28,29.99,6.0,11.0,0
73,28,20.25,120.0,2996.0,0
79,28,42.0,10.0,11.0,0
319,9,6.99,10.0,6.0,0
187,25,79.99,4.0,6.0,0
59,40,32.88,7.0,36.0,0
357,28,55.73,10.0,742.0,0
113,39,16.82,38.0,263.0,0
362,28,26.99,10.0,65.0,0
219,40,18.35,67.0,1926.0,0
187,25,4.95,10.0,3954.0,0
329,28,19.9,10.0,41.0,0
4,28,9.99,10.0,44.0,0
101,28,19.95,10.0,5.0,0
165,40,49.99,2.0,25.0,0
17,28,16.93,52.0,1516.0,0
357,40,19.99,10.0,37.0,0
101,45,29.95,9.0,9.0,0
101,40,11.95,10.0,73.0,0
370,28,15.0,5.0,10.0,0
356,40,19.54,19.0,288.0,0
279,28,150.0,3.0,1.0,0
65,28,44.49,9.0,5.0,0
35,28,59.99,5.0,30.0,0
101,40,32.49,10.0,226.0,0
12,78,14.9,5.0,5.0,0
178,40,21.95,5.0,0.0,0
361,28,33.99,10.0,80.0,0
122,28,29.49,10.0,458.0,0
72,28,31.23,50.0,101.0,0
357,40,8.98,6.0,64.0,0
357,40,37.99,10.0,147.0,0
148,28,43.99,10.0,24.0,0
69,78,18.99,10.0,2.0,0
217,28,14.75,10.0,119.0,0
191,28,59.32,10.0,119.0,0
86,28,285.0,8.0,5.0,0
37,5,13.37,92.0,7.0,0
357,40,38.49,10.0,81.0,0
64,28,25.98,10.0,5255.0,0
14,7,9.25,10.0,30.0,0
122,78,11.95,3.0,7.0,0
338,55,13.0,10.0,5.0,0
192,28,42.99,10.0,32.0,0
165,40,67.99,10.0,110.0,0
298,28,44.99,2.0,114.0,0
17,40,16.2,10.0,2472.0,0
212,28,31.41,10.0,5107.0,0
26,28,29.99,6.0,9.0,0
63,24,20.0,10.0,79.0,0
343,28,19.95,4.0,27.0,0
187,25,49.99,7.0,122.0,0
187,25,79.99,9.0,1.0,0
367,28,45.99,10.0,27.0,0
253,28,27.0,10.0,61.0,0
273,28,22.99,7.0,39.0,0
133,28,13.99,10.0,34.0,0
211,28,61.99,4.0,49.0,0
279,28,99.99,2.0,19.0,0
355,28,99.99,10.0,19.0,0
82,28,13.95,10.0,24.0,0
68,28,31.95,10.0,196.0,0
99,40,49.51,10.0,635.0,0
271,28,59.5,10.0,3.0,0
279,28,99.99,2.0,12.0,0
153,28,54.99,10.0,31.0,0
235,28,69.58,10.0,104.0,0
258,28,59.23,10.0,51.0,0
335,28,49.99,5.0,17.0,0
339,89,34.99,9.0,30.0,0
246,28,35.79,3.0,110.0,0
214,28,30.89,8.0,8.0,0
279,28,99.99,10.0,10.0,0
27,28,99.95,10.0,79.0,0
300,11,14.94,3.0,1454.0,0
148,40,49.99,10.0,43.0,0
214,39,29.06,103.0,152.0,0
142,78,140.0,10.0,0.0,0
36,78,1.99,10.0,4912.0,0
202,28,54.99,4.0,4.0,0
183,28,26.14,10.0,2724.0,0
65,33,13.75,10.0,52.0,0
26,66,17.99,5.0,17.0,0
191,28,14.99,10.0,5.0,0
113,28,16.3,159.0,1053.0,0
361,62,18.04,10.0,3.0,0
165,28,13.88,10.0,68.0,0
224,78,15.0,4.0,1.0,0
26,28,32.99,9.0,83.0,0
145,28,49.99,2.0,54.0,0
335,40,40.0,5.0,1.0,0
345,28,29.95,10.0,1.0,0
103,28,20.0,10.0,0.0,0
58,28,34.09,252.0,1429.0,0
148,28,55.63,10.0,57.0,0
171,28,27.25,10.0,3555.0,0
316,28,29.99,10.0,17.0,0
287,28,25.47,96.0,1616.0,0
267,78,9.99,8.0,139.0,0
156,40,22.95,20.0,294.0,0
123,25,18.62,10.0,2477.0,0
153,40,64.94,10.0,1613.0,0
40,14,14.89,6.0,30.0,0
187,25,79.99,8.0,2.0,0
56,28,19.24,7.0,1337.0,0
114,80,18.87,10.0,1.0,0
203,28,19.53,47.0,537.0,0
298,28,54.42,10.0,34.0,0
318,78,25.99,13.0,39.0,0
101,45,32.49,6.0,18.0,0
212,28,24.77,200.0,1585.0,0
68,28,18.76,4.0,229.0,0
355,28,100.99,10.0,10.0,0
56,28,18.9,245.0,3860.0,0
318,28,19.95,10.0,915.0,0
281,40,14.49,45.0,506.0,0
261,78,9.99,6.0,4.0,0
79,78,26.12,10.0,235.0,0
113,28,15.27,28.0,126.0,0
335,28,18.0,10.0,24.0,0
212,28,12.99,10.0,43.0,0
93,78,13.99,10.0,10.0,0
246,28,19.88,10.0,11.0,0
79,28,24.02,10.0,20.0,0
276,40,32.91,10.0,435.0,0
210,28,37.99,10.0,517.0,0
141,40,40.63,159.0,847.0,0
31,28,128.88,4.0,24.0,0
7,28,26.4,10.0,1338.0,0
211,28,43.99,6.0,15.0,0
211,28,43.99,6.0,15.0,0
291,28,15.49,10.0,22.0,0
279,28,100.99,10.0,39.0,0
260,40,27.54,6.0,272.0,0
92,40,15.99,10.0,98.0,0
186,40,26.81,10.0,478.0,0
141,40,38.76,10.0,401.0,0
128,78,48.0,4.0,1.0,0
9,56,58.5,10.0,3.0,0
56,28,10.99,8.0,6.0,0
211,28,42.99,2.0,146.0,0
335,28,43.99,10.0,20.0,0
361,28,29.95,10.0,46.0,0
59,40,34.87,10.0,27.0,0
181,40,15.99,22.0,18.0,0
282,28,28.0,10.0,78.0,0
145,28,16.99,10.0,111.0,0
237,40,18.0,5.0,75.0,0
361,28,29.99,7.0,98.0,0
317,40,17.79,15.0,2177.0,0
357,40,33.0,6.0,36.0,0
366,94,22.48,10.0,30.0,0
211,28,49.99,8.0,53.0,0
113,40,24.99,10.0,62.0,0
96,28,27.5,9.0,12.0,0
303,28,45.93,153.0,417.0,0
154,28,4.95,10.0,287.0,0
275,28,105.95,2.0,22.0,0
58,28,26.0,5.0,5.0,0
63,40,22.53,34.0,82.0,0
